Date,Open,High,Low,Close,Adj Close,Volume
2000-05-26,91.015617,91.015617,91.015617,91.015617,64.340828,0
2000-05-30,71.593750,71.593750,71.593750,71.593750,50.611118,0
2000-05-31,73.625000,73.625000,73.625000,73.625000,52.047054,200
2000-06-01,73.875000,75.687500,73.875000,75.421883,53.317310,1000
2000-06-02,76.906250,78.406250,76.906250,78.312500,55.360737,2200
2000-06-05,78.125000,78.125000,77.484383,77.484383,54.775337,1200
2000-06-06,75.375000,75.375000,75.250000,75.375000,53.284149,800
2000-06-07,75.750000,77.000000,75.687500,76.906250,54.366615,1800
2000-06-08,76.328117,76.328117,75.562500,75.562500,53.416695,1300
2000-06-09,76.093750,76.187500,74.640617,74.640617,52.765007,1400
2000-06-12,74.703117,74.812500,74.703117,74.750000,52.842319,400
2000-06-13,74.250000,75.187500,74.250000,75.187500,53.151619,500
2000-06-14,75.406250,76.375000,75.406250,76.375000,53.991058,1300
2000-06-15,74.859383,74.859383,73.812500,73.875000,52.223782,2300
2000-06-16,73.500000,73.500000,71.375000,71.375000,50.456470,3000
2000-06-19,71.625000,73.171883,71.625000,72.875000,51.516876,1100
2000-06-20,72.875000,72.875000,72.875000,72.875000,51.516876,0
2000-06-21,72.000000,72.000000,71.000000,71.250000,50.368126,4400
2000-06-22,70.968750,70.968750,70.468750,70.781250,50.036747,300
2000-06-23,71.937500,72.062500,71.250000,71.250000,50.368126,1900
2000-06-26,71.687500,71.843750,71.312500,71.843750,50.787838,2000
2000-06-27,72.500000,72.593750,72.187500,72.187500,51.030853,1700
2000-06-28,72.968750,73.125000,72.187500,72.187500,51.030853,900
2000-06-29,72.218750,72.359383,72.218750,72.359383,51.152359,400
2000-06-30,71.625000,71.625000,71.562500,71.625000,50.633213,300
2000-07-03,70.656250,71.093750,70.656250,70.968750,50.169304,2200
2000-07-05,72.078117,72.843750,72.046883,72.312500,51.119205,2800
2000-07-06,72.000000,72.968750,71.968750,72.968750,51.583122,900
2000-07-07,74.093750,74.468750,74.093750,74.468750,52.643513,1200
2000-07-10,74.406250,74.750000,74.406250,74.593750,52.731888,1900
2000-07-11,74.562500,75.187500,74.562500,74.750000,52.842319,3600
2000-07-12,75.375000,76.250000,75.375000,75.843750,53.615532,1700
2000-07-13,75.781250,75.781250,75.000000,75.250000,53.195805,2500
2000-07-14,75.375000,76.468750,75.375000,76.468750,54.057362,1900
2000-07-17,76.593750,76.593750,75.187500,75.187500,53.151619,1500
2000-07-18,74.609383,74.625000,74.312500,74.625000,52.753956,2600
2000-07-19,74.562500,74.625000,74.437500,74.625000,52.881496,1100
2000-07-20,75.156250,76.625000,74.875000,76.625000,54.298779,51800
2000-07-21,76.562500,76.562500,76.000000,76.046883,53.889103,12500
2000-07-24,76.125000,76.125000,76.125000,76.125000,53.944469,300
2000-07-25,76.187500,76.906250,76.187500,76.906250,54.498070,1800
2000-07-26,76.640617,76.640617,76.000000,76.125000,53.944469,1800
2000-07-27,77.125000,77.125000,76.375000,76.984383,54.553459,2900
2000-07-28,75.687500,75.687500,75.437500,75.437500,53.457268,800
2000-07-31,76.593750,76.593750,76.375000,76.375000,54.121620,200
2000-08-01,76.500000,77.000000,76.375000,77.000000,54.564514,600
2000-08-02,77.234383,77.234383,77.187500,77.187500,54.697399,200
2000-08-03,76.937500,78.562500,76.812500,78.562500,55.671783,45500
2000-08-04,79.062500,80.781250,79.062500,80.500000,57.044724,17200
2000-08-07,81.250000,81.296883,80.375000,81.140617,57.498699,76300
2000-08-08,81.140617,81.234383,80.812500,80.812500,57.266171,4700
2000-08-09,80.984383,81.250000,80.000000,81.250000,57.576191,5100
2000-08-10,81.375000,81.375000,80.875000,80.906250,57.332615,1100
2000-08-11,79.937500,81.625000,79.937500,81.625000,57.841953,5200
2000-08-14,81.843750,82.750000,81.375000,82.750000,58.639126,2700
2000-08-15,82.468750,82.468750,81.484383,81.812500,57.974819,900
2000-08-16,82.000000,82.000000,80.609383,80.609383,57.122219,1800
2000-08-17,80.750000,81.171883,80.703117,81.171883,57.520836,2500
2000-08-18,81.046883,81.046883,81.046883,81.046883,57.432270,100
2000-08-21,81.062500,81.671883,81.000000,81.671883,57.875160,4900
2000-08-22,82.343750,82.625000,82.343750,82.437500,58.417709,2400
2000-08-23,82.375000,82.437500,81.687500,81.687500,57.886200,600
2000-08-24,81.625000,81.625000,80.890617,81.125000,57.487610,76400
2000-08-25,81.281250,81.281250,80.640617,80.937500,57.354752,51800
2000-08-28,80.937500,82.031250,80.937500,81.968750,58.085526,2200
2000-08-29,81.437500,81.437500,80.453117,81.156250,57.509754,2200
2000-08-30,81.812500,82.312500,81.687500,81.687500,57.886200,52800
2000-08-31,82.406250,83.921883,82.406250,83.750000,59.347759,3000
2000-09-01,83.781250,83.781250,82.812500,82.859383,58.716663,7500
2000-09-05,82.812500,83.625000,82.812500,83.015617,58.827396,15800
2000-09-06,84.375000,84.531250,83.703117,83.968750,59.502804,4600
2000-09-07,83.937500,84.000000,83.250000,84.000000,59.524914,3900
2000-09-08,84.421883,85.125000,84.421883,85.109383,60.311100,3300
2000-09-11,85.625000,86.671883,85.625000,86.375000,61.207920,4000
2000-09-12,87.031250,87.062500,86.500000,86.500000,61.296494,8100
2000-09-13,86.578117,87.187500,86.109383,86.312500,61.163647,6400
2000-09-14,86.593750,86.937500,86.125000,86.468750,61.274376,1900
2000-09-15,85.875000,85.875000,84.843750,85.062500,60.277828,3000
2000-09-18,83.500000,83.500000,82.203117,82.296883,58.318035,2400
2000-09-19,82.250000,83.609383,82.250000,83.562500,59.214939,3800
2000-09-20,83.062500,83.062500,82.359383,83.062500,58.860592,2800
