Date,Open,High,Low,Close,Adj Close,Volume
2000-05-19,111.062500,111.062500,109.750000,109.750000,97.777412,20000
2000-05-22,106.000000,106.000000,106.000000,106.000000,94.436501,100
2000-05-23,109.250000,109.250000,108.000000,108.375000,96.552414,26000
2000-05-24,102.937500,107.250000,99.500000,107.250000,95.550140,24100
2000-05-25,110.375000,110.468750,105.750000,105.750000,94.213760,16200
2000-05-26,106.125000,106.125000,105.625000,105.625000,94.102402,300
2000-05-30,109.000000,112.281250,109.000000,112.281250,100.032532,2900
2000-05-31,115.093750,115.593750,115.093750,115.218750,102.649567,2400
2000-06-01,114.750000,118.000000,114.750000,117.968750,105.099541,3400
2000-06-02,125.000000,125.250000,124.468750,124.750000,111.141068,3400
2000-06-05,123.750000,127.625000,123.562500,126.125000,112.366043,19300
2000-06-06,125.843750,126.500000,123.968750,124.468750,110.890472,700
2000-06-07,122.218750,125.968750,122.000000,125.968750,112.226875,2800
2000-06-08,127.625000,127.625000,125.718750,125.718750,112.004105,2400
2000-06-09,127.062500,127.500000,126.500000,127.250000,113.368332,3200
2000-06-12,126.281250,126.281250,123.750000,124.500000,110.918320,900
2000-06-13,122.750000,125.500000,121.031250,125.500000,111.809242,4600
2000-06-14,126.562500,126.750000,124.000000,124.000000,110.472885,5500
2000-06-15,124.062500,126.015617,123.500000,125.718750,112.004105,2200
2000-06-16,126.125000,126.281250,124.500000,125.921883,112.185112,800
2000-06-19,127.000000,131.843750,126.968750,131.375000,117.043297,2500
2000-06-20,134.125000,134.125000,131.890625,131.890625,117.502731,10100
2000-06-21,130.937500,133.937500,130.937500,133.562500,118.992233,3400
2000-06-22,133.250000,133.250000,130.093750,130.093750,115.901886,4300
2000-06-23,130.000000,130.000000,126.000000,126.937500,113.089912,3300
2000-06-26,127.250000,127.812500,127.187500,127.187500,113.312645,800
2000-06-27,128.468750,128.468750,126.500000,126.843750,113.006386,500
2000-06-28,127.062500,129.468750,127.062500,128.000000,114.036514,2500
2000-06-29,125.781250,126.359383,124.625000,126.359383,112.574844,300
2000-06-30,126.531250,127.562500,126.500000,127.562500,113.646751,177600
2000-07-03,128.234375,128.562500,128.234375,128.562500,114.537666,200
2000-07-05,126.250000,126.250000,122.562500,122.718750,109.331413,28000
2000-07-06,123.125000,125.875000,121.250000,125.875000,112.143311,2100
2000-07-07,128.062500,129.625000,128.062500,128.875000,114.816055,3200
2000-07-10,128.843750,128.843750,127.265617,127.265617,113.382271,4100
2000-07-11,126.875000,129.187500,125.968750,125.968750,112.226875,8600
2000-07-12,128.437500,130.562500,127.937500,130.468750,116.235970,11800
2000-07-13,131.656250,134.250000,131.437500,133.718750,119.131386,71300
2000-07-14,135.125000,136.218750,134.625000,136.218750,121.358719,12000
2000-07-17,135.812500,137.750000,135.812500,137.312500,122.333107,6800
2000-07-18,134.562500,134.562500,133.015625,133.500000,118.936523,4100
2000-07-19,132.437500,132.437500,129.375000,129.375000,115.261490,6500
2000-07-20,130.750000,132.812500,130.750000,132.500000,118.045631,41800
2000-07-21,131.359375,131.359375,129.312500,129.312500,115.205826,4300
2000-07-24,128.687500,128.687500,126.109383,126.109383,112.352135,1000
2000-07-25,127.359383,127.562500,126.000000,127.562500,113.646751,600
2000-07-26,124.687500,125.156250,124.000000,125.156250,111.502998,1300
2000-07-27,124.156250,124.156250,121.250000,122.000000,108.691048,2500
2000-07-28,121.875000,121.875000,116.140617,116.140617,103.470894,12800
2000-07-31,117.937500,120.281250,115.937500,120.281250,107.159813,22200
2000-08-01,119.875000,119.875000,117.937500,117.937500,105.071724,6000
2000-08-02,118.750000,119.000000,116.515617,116.515617,103.804947,700
2000-08-03,113.000000,119.000000,112.937500,119.000000,106.018326,2600
2000-08-04,121.625000,122.250000,119.078117,119.078117,106.087936,7200
2000-08-07,120.625000,123.000000,120.625000,122.984383,109.568054,2200
2000-08-08,123.046883,124.375000,123.046883,123.781250,110.278000,1600
2000-08-09,125.359383,126.500000,123.703117,124.234383,110.681694,3100
2000-08-10,123.437500,123.718750,121.375000,121.375000,108.134247,1700
2000-08-11,118.500000,121.109383,118.500000,120.781250,107.605232,17300
2000-08-14,122.093750,123.812500,121.375000,123.687500,110.194473,9900
2000-08-15,125.375000,125.703117,124.000000,124.859383,111.238510,1500
2000-08-16,126.687500,126.687500,124.578117,125.500000,111.809242,2000
2000-08-17,125.250000,128.750000,125.250000,128.265625,114.273170,2600
2000-08-18,129.062500,129.750000,128.937500,128.937500,114.871735,1900
2000-08-21,129.718750,129.718750,127.750000,128.781250,114.732521,3000
2000-08-22,129.937500,130.312500,129.000000,129.000000,114.927414,1700
2000-08-23,128.687500,131.484375,127.750000,131.031250,116.737068,2200
2000-08-24,131.218750,132.343750,131.218750,132.015625,117.614090,6500
2000-08-25,132.093750,132.843750,131.625000,131.875000,117.488777,2500
2000-08-28,132.125000,134.218750,132.125000,134.062500,119.437668,6500
2000-08-29,133.187500,134.718750,133.171875,134.500000,119.827423,2000
2000-08-30,134.156250,134.296875,132.937500,134.296875,119.646431,3800
2000-08-31,134.906250,137.125000,134.906250,136.812500,121.887634,1800
2000-09-01,138.218750,139.000000,137.062500,137.187500,122.221748,6900
2000-09-05,136.312500,136.312500,133.937500,133.937500,119.326279,4700
2000-09-06,132.093750,132.093750,129.687500,129.687500,115.539917,900
2000-09-07,130.500000,133.312500,130.500000,132.687500,118.212677,4500
2000-09-08,130.750000,130.750000,129.125000,129.125000,115.038803,500
2000-09-11,128.187500,128.437500,124.406250,124.937500,111.308090,3500
2000-09-12,126.281250,126.750000,122.500000,122.500000,109.136520,3000
2000-09-13,121.125000,124.437500,121.125000,123.187500,109.749008,2700
2000-09-14,126.750000,127.656250,124.500000,124.500000,110.918320,5400
2000-09-15,124.437500,124.437500,121.312500,122.046883,108.732834,1700
2000-09-18,123.343750,123.343750,119.312500,120.500000,107.354675,6900
2000-09-19,121.000000,125.203117,121.000000,125.203117,111.544731,1800
2000-09-20,125.640617,127.250000,123.625000,127.250000,113.368332,11300
2000-09-21,125.375000,125.781250,123.750000,125.187500,111.530846,3500
2000-09-22,116.000000,121.062500,116.000000,121.062500,107.855850,5000
2000-09-25,123.500000,123.875000,118.875000,118.937500,105.962631,3000
2000-09-26,118.000000,118.625000,116.625000,117.562500,104.737617,1400
2000-09-27,118.187500,118.609383,115.000000,115.687500,103.067169,2400
2000-09-28,116.546883,120.265617,115.937500,119.984383,106.895325,8800
2000-09-29,118.312500,118.312500,115.375000,116.062500,103.401260,2500
2000-10-02,115.750000,117.109383,112.312500,113.375000,101.006912,6700
