Date,Open,High,Low,Close,Adj Close,Volume
2005-12-28,20.250000,20.309999,20.230000,20.290001,11.715172,101100
2005-12-29,20.290001,20.330000,20.270000,20.330000,11.738279,124200
2005-12-30,20.350000,20.350000,20.270000,20.340000,11.744053,62500
2006-01-03,20.299999,20.480000,20.290001,20.450001,11.807568,119100
2006-01-04,20.420000,20.459999,20.370001,20.430000,11.796014,127900
2006-01-05,20.360001,20.450001,20.330000,20.430000,11.796014,99100
2006-01-06,20.469999,20.469999,20.400000,20.459999,11.813335,81100
2006-01-09,20.440001,20.440001,20.290001,20.350000,11.749830,143500
2006-01-10,20.350000,20.430000,20.290001,20.420000,11.790235,86800
2006-01-11,20.430000,20.610001,20.430000,20.600000,11.894176,93200
2006-01-12,20.620001,20.629999,20.540001,20.570000,11.876848,95200
2006-01-13,20.540001,20.639999,20.540001,20.549999,11.865296,77400
2006-01-16,20.580000,20.719999,20.580000,20.709999,11.957685,136300
2006-01-17,20.680000,20.680000,20.559999,20.600000,11.894176,90700
2006-01-18,20.459999,20.490000,20.379999,20.420000,11.790235,120700
2006-01-19,20.520000,20.520000,20.400000,20.420000,11.790235,106100
2006-01-20,20.430000,20.459999,20.350000,20.360001,11.755606,53200
2006-01-23,20.299999,20.510000,20.299999,20.450001,11.807568,98300
2006-01-24,20.410000,20.430000,20.370001,20.370001,11.761373,55700
2006-01-25,20.340000,20.389999,20.250000,20.280001,11.709410,104000
2006-01-26,20.320000,20.330000,20.230000,20.250000,11.692086,84100
2006-01-27,20.280001,20.320000,20.250000,20.320000,11.732507,103100
2006-01-30,20.389999,20.420000,20.320000,20.370001,11.761373,54800
2006-01-31,20.370001,20.450001,20.350000,20.400000,11.778695,64800
2006-02-01,20.389999,20.410000,20.330000,20.370001,11.761373,49000
2006-02-02,20.309999,20.360001,20.280001,20.360001,11.755606,64400
2006-02-03,20.280001,20.330000,20.250000,20.320000,11.732507,43400
2006-02-06,20.299999,20.320000,20.280001,20.320000,11.732507,35500
2006-02-07,20.290001,20.309999,20.219999,20.260000,11.697859,47300
2006-02-08,20.290001,20.290001,20.160000,20.170000,11.645895,68700
2006-02-09,20.250000,20.270000,20.170000,20.219999,11.674763,27200
2006-02-10,20.209999,20.290001,20.209999,20.250000,11.692086,47100
2006-02-13,20.240000,20.240000,20.100000,20.129999,11.622802,27300
2006-02-14,20.170000,20.200001,20.129999,20.200001,11.663216,110400
2006-02-15,20.219999,20.240000,20.190001,20.240000,11.686312,89200
